Reached Threshold,Time Elapsed,Name,Iterations,Max Residual
False,nan,Jasper/m33/14B-088/single_channels/channel_670/casapy-20151126-000802,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_671/casapy-20151125-224749,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_672/casapy-20151125-224834,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_673/casapy-20151125-224844,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_674/casapy-20151125-225017,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_675/casapy-20151126-172729,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_676/casapy-20151126-172809,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_677/casapy-20151126-172908,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_678/casapy-20151126-172840,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_679/casapy-20151126-172938,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_680/casapy-20151126-172957,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_681/casapy-20151126-173012,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_682/casapy-20151126-173037,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_683/casapy-20151126-173136,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_684/casapy-20151126-173203,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_685/casapy-20151126-173222,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_686/casapy-20151126-173236,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_687/casapy-20151126-173302,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_688/casapy-20151126-173400,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_689/casapy-20151126-173427,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_690/casapy-20151126-173446,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_691/casapy-20151126-173501,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_692/casapy-20151126-173526,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_693/casapy-20151126-173625,0,nan
False,nan,Jasper/m33/14B-088/single_channels/channel_694/casapy-20151126-173651,0,nan
True,25.633333333333333,Jasper/m33/14B-088/single_channels/channel_695/casapy-20151126-173710,16677,0.00141925
True,25.766666666666666,Jasper/m33/14B-088/single_channels/channel_696/casapy-20151126-225603,16873,0.00141178
True,25.6,Jasper/m33/14B-088/single_channels/channel_697/casapy-20151126-225619,16361,0.00148407
True,26.533333333333335,Jasper/m33/14B-088/single_channels/channel_698/casapy-20151126-231311,17165,0.00140391
True,28.75,Jasper/m33/14B-088/single_channels/channel_699/casapy-20151126-231336,17107,0.00143268
True,26.716666666666665,Jasper/m33/14B-088/single_channels/channel_700/casapy-20151126-231302,17613,0.00140677
True,31.2,Jasper/m33/14B-088/single_channels/channel_701/casapy-20151126-231308,18168,0.0014163
True,29.35,Jasper/m33/14B-088/single_channels/channel_702/casapy-20151126-231310,18738,0.00142119
True,28.05,Jasper/m33/14B-088/single_channels/channel_703/casapy-20151126-231529,18544,0.00142521
True,28.533333333333335,Jasper/m33/14B-088/single_channels/channel_704/casapy-20151126-231524,18744,0.00141003
True,28.383333333333333,Jasper/m33/14B-088/single_channels/channel_705/casapy-20151126-231529,19470,0.001429
True,29.733333333333334,Jasper/m33/14B-088/single_channels/channel_706/casapy-20151126-231517,19476,0.00142069
True,30.966666666666665,Jasper/m33/14B-088/single_channels/channel_707/casapy-20151126-231528,19981,0.00140969
True,30.366666666666667,Jasper/m33/14B-088/single_channels/channel_708/casapy-20151126-232742,19852,0.00142012
True,31.966666666666665,Jasper/m33/14B-088/single_channels/channel_709/casapy-20151126-232744,21080,0.00149256
True,33.733333333333334,Jasper/m33/14B-088/single_channels/channel_710/casapy-20151126-232724,23060,0.00148618
True,32.81666666666667,Jasper/m33/14B-088/single_channels/channel_711/casapy-20151126-232759,21615,0.00140606
True,29.95,Jasper/m33/14B-088/single_channels/channel_712/casapy-20151126-232730,20603,0.00142715
True,29.766666666666666,Jasper/m33/14B-088/single_channels/channel_713/casapy-20151127-045709,20954,0.0014231
True,35.35,Jasper/m33/14B-088/single_channels/channel_714/casapy-20151126-232956,21450,0.00142275
True,33.333333333333336,Jasper/m33/14B-088/single_channels/channel_715/casapy-20151127-045747,21798,0.00143462
True,33.333333333333336,Jasper/m33/14B-088/single_channels/channel_716/casapy-20151126-233004,22871,0.00143395
True,35.416666666666664,Jasper/m33/14B-088/single_channels/channel_717/casapy-20151126-232951,22949,0.00142436
True,32.15,Jasper/m33/14B-088/single_channels/channel_718/casapy-20151127-040029,23298,0.00143566
True,34.266666666666666,Jasper/m33/14B-088/single_channels/channel_719/casapy-20151127-040654,23470,0.00144626
True,35.53333333333333,Jasper/m33/14B-088/single_channels/channel_720/casapy-20151127-040643,25433,0.00144845
True,35.483333333333334,Jasper/m33/14B-088/single_channels/channel_721/casapy-20151127-042735,26858,0.0014554
True,39.75,Jasper/m33/14B-088/single_channels/channel_722/casapy-20151127-042655,27594,0.00143796
True,38.166666666666664,Jasper/m33/14B-088/single_channels/channel_723/casapy-20151126-233919,28733,0.00144248
True,43.833333333333336,Jasper/m33/14B-088/single_channels/channel_724/casapy-20151126-233902,30003,0.001431
True,38.516666666666666,Jasper/m33/14B-088/single_channels/channel_725/casapy-20151126-234257,29946,0.00145878
True,41.916666666666664,Jasper/m33/14B-088/single_channels/channel_726/casapy-20151127-040034,30315,0.00147769
True,44.95,Jasper/m33/14B-088/single_channels/channel_727/casapy-20151126-234600,31351,0.00145038
True,42.583333333333336,Jasper/m33/14B-088/single_channels/channel_728/casapy-20151126-234533,31386,0.00146755
True,40.61666666666667,Jasper/m33/14B-088/single_channels/channel_729/casapy-20151127-042727,31967,0.00146346
True,45.55,Jasper/m33/14B-088/single_channels/channel_730/casapy-20151127-042721,32916,0.0014686
True,45.35,Jasper/m33/14B-088/single_channels/channel_731/casapy-20151127-092708,33039,0.00147231
True,44.666666666666664,Jasper/m33/14B-088/single_channels/channel_732/casapy-20151126-234750,32631,0.00147815
True,45.7,Jasper/m33/14B-088/single_channels/channel_733/casapy-20151126-234759,32064,0.00147007
True,41.9,Jasper/m33/14B-088/single_channels/channel_734/casapy-20151210-070556,32952,0.00148329
True,45.5,Jasper/m33/14B-088/single_channels/channel_735/casapy-20151127-092704,33279,0.00142427
True,46.46666666666667,Jasper/m33/14B-088/single_channels/channel_736/casapy-20151126-235015,33922,0.00142956
True,46.13333333333333,Jasper/m33/14B-088/single_channels/channel_737/casapy-20151127-043152,34296,0.0014423
True,48.25,Jasper/m33/14B-088/single_channels/channel_738/casapy-20151127-043328,36115,0.00144799
True,48.733333333333334,Jasper/m33/14B-088/single_channels/channel_739/casapy-20151127-042716,36525,0.00143627
True,46.38333333333333,Jasper/m33/14B-088/single_channels/channel_740/casapy-20151126-235308,36602,0.00148419
True,45.766666666666666,Jasper/m33/14B-088/single_channels/channel_741/casapy-20151126-235321,37158,0.00149137
True,49.8,Jasper/m33/14B-088/single_channels/channel_742/casapy-20151126-235808,37359,0.00144285
True,50.53333333333333,Jasper/m33/14B-088/single_channels/channel_743/casapy-20151127-040011,37235,0.00145618
True,51.96666666666667,Jasper/m33/14B-088/single_channels/channel_744/casapy-20151127-040054,38210,0.00145624
True,51.666666666666664,Jasper/m33/14B-088/single_channels/channel_745/casapy-20151127-000039,39656,0.00144813
True,50.55,Jasper/m33/14B-088/single_channels/channel_746/casapy-20151127-000204,39669,0.00144659
True,49.083333333333336,Jasper/m33/14B-088/single_channels/channel_747/casapy-20151127-044048,40151,0.00145402
True,52.13333333333333,Jasper/m33/14B-088/single_channels/channel_748/casapy-20151127-092647,41812,0.00145072
True,55.45,Jasper/m33/14B-088/single_channels/channel_749/casapy-20151127-000733,42353,0.00149339
True,52.53333333333333,Jasper/m33/14B-088/single_channels/channel_750/casapy-20151127-035751,41948,0.00144103
True,57.63333333333333,Jasper/m33/14B-088/single_channels/channel_751/casapy-20151127-035830,42221,0.00143742
True,55.766666666666666,Jasper/m33/14B-088/single_channels/channel_752/casapy-20151127-035753,43708,0.00145001
True,55.96666666666667,Jasper/m33/14B-088/single_channels/channel_753/casapy-20151127-035735,44338,0.00145159
True,55.1,Jasper/m33/14B-088/single_channels/channel_754/casapy-20151127-040011,44660,0.00145031
True,55.983333333333334,Jasper/m33/14B-088/single_channels/channel_755/casapy-20151127-092659,45360,0.0014504
True,62.45,Jasper/m33/14B-088/single_channels/channel_756/casapy-20151127-092653,46124,0.00146998
True,61.75,Jasper/m33/14B-088/single_channels/channel_757/casapy-20151127-093201,47035,0.00144771
True,57.15,Jasper/m33/14B-088/single_channels/channel_758/casapy-20151127-093157,47702,0.00144583
True,61.2,Jasper/m33/14B-088/single_channels/channel_759/casapy-20151127-093141,48926,0.00145965
True,62.95,Jasper/m33/14B-088/single_channels/channel_760/casapy-20151127-093227,49787,0.00146563
True,63.56666666666667,Jasper/m33/14B-088/single_channels/channel_761/casapy-20151127-093139,50265,0.00146146
True,69.08333333333333,Jasper/m33/14B-088/single_channels/channel_762/casapy-20151127-175636,50435,0.00147218
True,70.46666666666667,Jasper/m33/14B-088/single_channels/channel_763/casapy-20151127-174756,51417,0.00146359
True,64.1,Jasper/m33/14B-088/single_channels/channel_764/casapy-20151127-093948,52020,0.00147157
True,65.06666666666666,Jasper/m33/14B-088/single_channels/channel_765/casapy-20151127-174624,52104,0.00147714
True,66.8,Jasper/m33/14B-088/single_channels/channel_766/casapy-20151127-094050,53451,0.00147967
True,70.16666666666667,Jasper/m33/14B-088/single_channels/channel_767/casapy-20151127-180701,54949,0.00146699
True,75.41666666666667,Jasper/m33/14B-088/single_channels/channel_768/casapy-20151127-094314,55818,0.00147612
True,74.71666666666667,Jasper/m33/14B-088/single_channels/channel_769/casapy-20151127-094835,57038,0.00148111
True,75.3,Jasper/m33/14B-088/single_channels/channel_770/casapy-20151127-175526,58306,0.00146847
True,79.0,Jasper/m33/14B-088/single_channels/channel_771/casapy-20151127-175348,57502,0.00147522
