Reached Threshold,Time Elapsed,Name,Iterations,Max Residual
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_670/14B-088_HI_LSRK.ms.contsub_channel_670,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_671/14B-088_HI_LSRK.ms.contsub_channel_671,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_672/14B-088_HI_LSRK.ms.contsub_channel_672,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_673/14B-088_HI_LSRK.ms.contsub_channel_673,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_674/14B-088_HI_LSRK.ms.contsub_channel_674,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_675/14B-088_HI_LSRK.ms.contsub_channel_675,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_676/14B-088_HI_LSRK.ms.contsub_channel_676,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_677/14B-088_HI_LSRK.ms.contsub_channel_677,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_678/14B-088_HI_LSRK.ms.contsub_channel_678,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_679/14B-088_HI_LSRK.ms.contsub_channel_679,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_680/14B-088_HI_LSRK.ms.contsub_channel_680,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_681/14B-088_HI_LSRK.ms.contsub_channel_681,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_682/14B-088_HI_LSRK.ms.contsub_channel_682,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_683/14B-088_HI_LSRK.ms.contsub_channel_683,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_684/14B-088_HI_LSRK.ms.contsub_channel_684,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_685/14B-088_HI_LSRK.ms.contsub_channel_685,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_686/14B-088_HI_LSRK.ms.contsub_channel_686,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_687/14B-088_HI_LSRK.ms.contsub_channel_687,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_688/14B-088_HI_LSRK.ms.contsub_channel_688,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_689/14B-088_HI_LSRK.ms.contsub_channel_689,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_690/14B-088_HI_LSRK.ms.contsub_channel_690,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_691/14B-088_HI_LSRK.ms.contsub_channel_691,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_692/14B-088_HI_LSRK.ms.contsub_channel_692,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_693/14B-088_HI_LSRK.ms.contsub_channel_693,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_694/14B-088_HI_LSRK.ms.contsub_channel_694,0,nan
True,12.166666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_695/14B-088_HI_LSRK.ms.contsub_channel_695,4056,0.00255268
True,12.5,/home/eric/Jasper/m33/14B-088/single_channels/channel_696/14B-088_HI_LSRK.ms.contsub_channel_696,3991,0.00252937
True,13.816666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_697/14B-088_HI_LSRK.ms.contsub_channel_697,4030,0.00256839
True,12.033333333333333,/home/eric/Jasper/m33/14B-088/single_channels/channel_698/14B-088_HI_LSRK.ms.contsub_channel_698,4304,0.00254031
True,12.65,/home/eric/Jasper/m33/14B-088/single_channels/channel_699/14B-088_HI_LSRK.ms.contsub_channel_699,4412,0.00259777
True,12.316666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_700/14B-088_HI_LSRK.ms.contsub_channel_700,4595,0.0026213
True,13.1,/home/eric/Jasper/m33/14B-088/single_channels/channel_701/14B-088_HI_LSRK.ms.contsub_channel_701,4634,0.00257823
True,12.516666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_702/14B-088_HI_LSRK.ms.contsub_channel_702,4701,0.00260578
True,13.383333333333333,/home/eric/Jasper/m33/14B-088/single_channels/channel_703/14B-088_HI_LSRK.ms.contsub_channel_703,4825,0.00256677
True,12.816666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_704/14B-088_HI_LSRK.ms.contsub_channel_704,5001,0.00257378
True,12.9,/home/eric/Jasper/m33/14B-088/single_channels/channel_705/14B-088_HI_LSRK.ms.contsub_channel_705,5165,0.00259238
True,13.0,/home/eric/Jasper/m33/14B-088/single_channels/channel_706/14B-088_HI_LSRK.ms.contsub_channel_706,5397,0.00258994
True,13.049999999999999,/home/eric/Jasper/m33/14B-088/single_channels/channel_707/14B-088_HI_LSRK.ms.contsub_channel_707,5451,0.00256285
True,13.866666666666667,/home/eric/Jasper/m33/14B-088/single_channels/channel_708/14B-088_HI_LSRK.ms.contsub_channel_708,5474,0.00255681
True,13.833333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_709/14B-088_HI_LSRK.ms.contsub_channel_709,5850,0.00260877
True,16.216666666666665,/home/eric/Jasper/m33/14B-088/single_channels/channel_710/14B-088_HI_LSRK.ms.contsub_channel_710,6299,0.00255243
True,14.266666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_711/14B-088_HI_LSRK.ms.contsub_channel_711,6140,0.00262634
True,15.466666666666667,/home/eric/Jasper/m33/14B-088/single_channels/channel_712/14B-088_HI_LSRK.ms.contsub_channel_712,6044,0.00260786
True,15.4,/home/eric/Jasper/m33/14B-088/single_channels/channel_713/14B-088_HI_LSRK.ms.contsub_channel_713,6240,0.00259749
True,13.766666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_714/14B-088_HI_LSRK.ms.contsub_channel_714,6145,0.00261172
True,13.666666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_715/14B-088_HI_LSRK.ms.contsub_channel_715,6073,0.00259047
True,14.65,/home/eric/Jasper/m33/14B-088/single_channels/channel_716/14B-088_HI_LSRK.ms.contsub_channel_716,6045,0.00265126
True,15.083333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_717/14B-088_HI_LSRK.ms.contsub_channel_717,6108,0.00263395
True,14.366666666666667,/home/eric/Jasper/m33/14B-088/single_channels/channel_718/14B-088_HI_LSRK.ms.contsub_channel_718,6169,0.00263694
True,16.833333333333332,/home/eric/Jasper/m33/14B-088/single_channels/channel_719/14B-088_HI_LSRK.ms.contsub_channel_719,6127,0.00265838
True,14.883333333333333,/home/eric/Jasper/m33/14B-088/single_channels/channel_720/14B-088_HI_LSRK.ms.contsub_channel_720,6424,0.00262265
True,14.0,/home/eric/Jasper/m33/14B-088/single_channels/channel_721/14B-088_HI_LSRK.ms.contsub_channel_721,6427,0.00274753
True,15.183333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_722/14B-088_HI_LSRK.ms.contsub_channel_722,6236,0.00268136
True,14.35,/home/eric/Jasper/m33/14B-088/single_channels/channel_723/14B-088_HI_LSRK.ms.contsub_channel_723,6476,0.00264674
True,14.533333333333333,/home/eric/Jasper/m33/14B-088/single_channels/channel_724/14B-088_HI_LSRK.ms.contsub_channel_724,6565,0.0026797
True,17.3,/home/eric/Jasper/m33/14B-088/single_channels/channel_725/14B-088_HI_LSRK.ms.contsub_channel_725,6860,0.00260945
True,14.416666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_726/14B-088_HI_LSRK.ms.contsub_channel_726,6802,0.00264537
True,14.7,/home/eric/Jasper/m33/14B-088/single_channels/channel_727/14B-088_HI_LSRK.ms.contsub_channel_727,6839,0.00272904
True,18.716666666666665,/home/eric/Jasper/m33/14B-088/single_channels/channel_728/14B-088_HI_LSRK.ms.contsub_channel_728,7056,0.00259296
True,16.316666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_729/14B-088_HI_LSRK.ms.contsub_channel_729,7213,0.00260506
True,16.1,/home/eric/Jasper/m33/14B-088/single_channels/channel_730/14B-088_HI_LSRK.ms.contsub_channel_730,7408,0.00260505
True,16.95,/home/eric/Jasper/m33/14B-088/single_channels/channel_731/14B-088_HI_LSRK.ms.contsub_channel_731,7501,0.00262078
True,17.066666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_732/14B-088_HI_LSRK.ms.contsub_channel_732,7588,0.00259566
True,16.766666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_733/14B-088_HI_LSRK.ms.contsub_channel_733,7561,0.00261322
True,18.183333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_734/14B-088_HI_LSRK.ms.contsub_channel_734,7870,0.00256618
True,16.4,/home/eric/Jasper/m33/14B-088/single_channels/channel_735/14B-088_HI_LSRK.ms.contsub_channel_735,7982,0.00260639
True,17.3,/home/eric/Jasper/m33/14B-088/single_channels/channel_736/14B-088_HI_LSRK.ms.contsub_channel_736,8092,0.00256888
True,17.566666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_737/14B-088_HI_LSRK.ms.contsub_channel_737,8324,0.0026207
True,18.366666666666667,/home/eric/Jasper/m33/14B-088/single_channels/channel_738/14B-088_HI_LSRK.ms.contsub_channel_738,8628,0.00265008
True,17.566666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_739/14B-088_HI_LSRK.ms.contsub_channel_739,8910,0.00263282
True,17.483333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_740/14B-088_HI_LSRK.ms.contsub_channel_740,9058,0.00259985
True,17.833333333333332,/home/eric/Jasper/m33/14B-088/single_channels/channel_741/14B-088_HI_LSRK.ms.contsub_channel_741,9326,0.00260576
True,18.45,/home/eric/Jasper/m33/14B-088/single_channels/channel_742/14B-088_HI_LSRK.ms.contsub_channel_742,9426,0.00257696
True,19.083333333333332,/home/eric/Jasper/m33/14B-088/single_channels/channel_743/14B-088_HI_LSRK.ms.contsub_channel_743,9611,0.00255568
True,18.45,/home/eric/Jasper/m33/14B-088/single_channels/channel_744/14B-088_HI_LSRK.ms.contsub_channel_744,9963,0.00266214
True,24.016666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_745/14B-088_HI_LSRK.ms.contsub_channel_745,10421,0.00264335
True,18.85,/home/eric/Jasper/m33/14B-088/single_channels/channel_746/14B-088_HI_LSRK.ms.contsub_channel_746,10596,0.00260454
True,20.566666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_747/14B-088_HI_LSRK.ms.contsub_channel_747,10659,0.00267322
True,19.716666666666665,/home/eric/Jasper/m33/14B-088/single_channels/channel_748/14B-088_HI_LSRK.ms.contsub_channel_748,10958,0.00261475
True,19.8,/home/eric/Jasper/m33/14B-088/single_channels/channel_749/14B-088_HI_LSRK.ms.contsub_channel_749,11180,0.00264072
True,20.65,/home/eric/Jasper/m33/14B-088/single_channels/channel_750/14B-088_HI_LSRK.ms.contsub_channel_750,11294,0.00262822
True,20.716666666666665,/home/eric/Jasper/m33/14B-088/single_channels/channel_751/14B-088_HI_LSRK.ms.contsub_channel_751,11774,0.00266248
