Reached Threshold,Time Elapsed,Name,Iterations,Max Residual
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_670/14B-088_HI_LSRK.ms.contsub_channel_670,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_671/14B-088_HI_LSRK.ms.contsub_channel_671,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_672/14B-088_HI_LSRK.ms.contsub_channel_672,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_673/14B-088_HI_LSRK.ms.contsub_channel_673,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_674/14B-088_HI_LSRK.ms.contsub_channel_674,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_675/14B-088_HI_LSRK.ms.contsub_channel_675,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_676/14B-088_HI_LSRK.ms.contsub_channel_676,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_677/14B-088_HI_LSRK.ms.contsub_channel_677,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_678/14B-088_HI_LSRK.ms.contsub_channel_678,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_679/14B-088_HI_LSRK.ms.contsub_channel_679,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_680/14B-088_HI_LSRK.ms.contsub_channel_680,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_681/14B-088_HI_LSRK.ms.contsub_channel_681,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_682/14B-088_HI_LSRK.ms.contsub_channel_682,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_683/14B-088_HI_LSRK.ms.contsub_channel_683,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_684/14B-088_HI_LSRK.ms.contsub_channel_684,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_685/14B-088_HI_LSRK.ms.contsub_channel_685,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_686/14B-088_HI_LSRK.ms.contsub_channel_686,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_687/14B-088_HI_LSRK.ms.contsub_channel_687,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_688/14B-088_HI_LSRK.ms.contsub_channel_688,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_689/14B-088_HI_LSRK.ms.contsub_channel_689,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_690/14B-088_HI_LSRK.ms.contsub_channel_690,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_691/14B-088_HI_LSRK.ms.contsub_channel_691,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_692/14B-088_HI_LSRK.ms.contsub_channel_692,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_693/14B-088_HI_LSRK.ms.contsub_channel_693,0,nan
False,nan,/home/eric/Jasper/m33/14B-088/single_channels/channel_694/14B-088_HI_LSRK.ms.contsub_channel_694,0,nan
True,13.0,/home/eric/Jasper/m33/14B-088/single_channels/channel_695/14B-088_HI_LSRK.ms.contsub_channel_695,4138,0.00441855
True,11.983333333333333,/home/eric/Jasper/m33/14B-088/single_channels/channel_696/14B-088_HI_LSRK.ms.contsub_channel_696,4089,0.00427513
True,13.016666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_697/14B-088_HI_LSRK.ms.contsub_channel_697,4198,0.0042353
True,12.75,/home/eric/Jasper/m33/14B-088/single_channels/channel_698/14B-088_HI_LSRK.ms.contsub_channel_698,4064,0.00442281
True,11.75,/home/eric/Jasper/m33/14B-088/single_channels/channel_699/14B-088_HI_LSRK.ms.contsub_channel_699,4173,0.00423951
True,13.15,/home/eric/Jasper/m33/14B-088/single_channels/channel_700/14B-088_HI_LSRK.ms.contsub_channel_700,4480,0.00434969
True,12.75,/home/eric/Jasper/m33/14B-088/single_channels/channel_701/14B-088_HI_LSRK.ms.contsub_channel_701,4527,0.00430454
True,12.383333333333333,/home/eric/Jasper/m33/14B-088/single_channels/channel_702/14B-088_HI_LSRK.ms.contsub_channel_702,4409,0.00431526
True,12.583333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_703/14B-088_HI_LSRK.ms.contsub_channel_703,4453,0.00433286
True,13.316666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_704/14B-088_HI_LSRK.ms.contsub_channel_704,4740,0.00433346
True,12.383333333333333,/home/eric/Jasper/m33/14B-088/single_channels/channel_705/14B-088_HI_LSRK.ms.contsub_channel_705,4936,0.00433933
True,12.583333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_706/14B-088_HI_LSRK.ms.contsub_channel_706,4804,0.00433931
True,12.766666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_707/14B-088_HI_LSRK.ms.contsub_channel_707,4977,0.00443855
True,13.6,/home/eric/Jasper/m33/14B-088/single_channels/channel_708/14B-088_HI_LSRK.ms.contsub_channel_708,5175,0.00440974
True,13.35,/home/eric/Jasper/m33/14B-088/single_channels/channel_709/14B-088_HI_LSRK.ms.contsub_channel_709,5230,0.00435305
True,13.833333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_710/14B-088_HI_LSRK.ms.contsub_channel_710,5033,0.0043567
True,13.883333333333333,/home/eric/Jasper/m33/14B-088/single_channels/channel_711/14B-088_HI_LSRK.ms.contsub_channel_711,5355,0.00428629
True,12.6,/home/eric/Jasper/m33/14B-088/single_channels/channel_712/14B-088_HI_LSRK.ms.contsub_channel_712,5166,0.00432838
True,13.666666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_713/14B-088_HI_LSRK.ms.contsub_channel_713,5237,0.00434021
True,13.1,/home/eric/Jasper/m33/14B-088/single_channels/channel_714/14B-088_HI_LSRK.ms.contsub_channel_714,5626,0.00442826
True,13.766666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_715/14B-088_HI_LSRK.ms.contsub_channel_715,5708,0.0043057
True,14.283333333333333,/home/eric/Jasper/m33/14B-088/single_channels/channel_716/14B-088_HI_LSRK.ms.contsub_channel_716,5746,0.00436354
True,13.233333333333333,/home/eric/Jasper/m33/14B-088/single_channels/channel_717/14B-088_HI_LSRK.ms.contsub_channel_717,5674,0.0043533
True,14.75,/home/eric/Jasper/m33/14B-088/single_channels/channel_718/14B-088_HI_LSRK.ms.contsub_channel_718,5797,0.00434411
True,14.316666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_719/14B-088_HI_LSRK.ms.contsub_channel_719,6179,0.00423149
True,15.733333333333333,/home/eric/Jasper/m33/14B-088/single_channels/channel_720/14B-088_HI_LSRK.ms.contsub_channel_720,6500,0.00425157
True,14.666666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_721/14B-088_HI_LSRK.ms.contsub_channel_721,6238,0.00444913
True,13.299999999999999,/home/eric/Jasper/m33/14B-088/single_channels/channel_722/14B-088_HI_LSRK.ms.contsub_channel_722,6008,0.0043857
True,14.7,/home/eric/Jasper/m33/14B-088/single_channels/channel_723/14B-088_HI_LSRK.ms.contsub_channel_723,6179,0.0043476
True,14.716666666666667,/home/eric/Jasper/m33/14B-088/single_channels/channel_724/14B-088_HI_LSRK.ms.contsub_channel_724,6287,0.00430229
True,15.15,/home/eric/Jasper/m33/14B-088/single_channels/channel_725/14B-088_HI_LSRK.ms.contsub_channel_725,6242,0.00427875
True,15.7,/home/eric/Jasper/m33/14B-088/single_channels/channel_726/14B-088_HI_LSRK.ms.contsub_channel_726,6555,0.00440597
True,19.183333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_727/14B-088_HI_LSRK.ms.contsub_channel_727,6590,0.00431758
True,16.483333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_728/14B-088_HI_LSRK.ms.contsub_channel_728,6606,0.00441496
True,15.083333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_729/14B-088_HI_LSRK.ms.contsub_channel_729,6698,0.0044928
True,15.299999999999999,/home/eric/Jasper/m33/14B-088/single_channels/channel_730/14B-088_HI_LSRK.ms.contsub_channel_730,6757,0.00441099
True,16.583333333333332,/home/eric/Jasper/m33/14B-088/single_channels/channel_731/14B-088_HI_LSRK.ms.contsub_channel_731,7034,0.00444564
True,16.78333333333333,/home/eric/Jasper/m33/14B-088/single_channels/channel_732/14B-088_HI_LSRK.ms.contsub_channel_732,7328,0.00427352
True,18.383333333333333,/home/eric/Jasper/m33/14B-088/single_channels/channel_733/14B-088_HI_LSRK.ms.contsub_channel_733,7012,0.0044237
True,20.683333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_734/14B-088_HI_LSRK.ms.contsub_channel_734,7464,0.0043122
True,17.666666666666668,/home/eric/Jasper/m33/14B-088/single_channels/channel_735/14B-088_HI_LSRK.ms.contsub_channel_735,7344,0.00431603
True,17.233333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_736/14B-088_HI_LSRK.ms.contsub_channel_736,7411,0.00423664
True,16.266666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_737/14B-088_HI_LSRK.ms.contsub_channel_737,7198,0.00440674
True,17.466666666666665,/home/eric/Jasper/m33/14B-088/single_channels/channel_738/14B-088_HI_LSRK.ms.contsub_channel_738,7947,0.00431304
True,17.516666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_739/14B-088_HI_LSRK.ms.contsub_channel_739,8035,0.00436635
True,18.5,/home/eric/Jasper/m33/14B-088/single_channels/channel_740/14B-088_HI_LSRK.ms.contsub_channel_740,8288,0.00432225
True,18.666666666666668,/home/eric/Jasper/m33/14B-088/single_channels/channel_741/14B-088_HI_LSRK.ms.contsub_channel_741,8281,0.00437347
True,16.483333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_742/14B-088_HI_LSRK.ms.contsub_channel_742,8242,0.00444468
True,17.816666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_743/14B-088_HI_LSRK.ms.contsub_channel_743,8528,0.00436396
True,18.45,/home/eric/Jasper/m33/14B-088/single_channels/channel_744/14B-088_HI_LSRK.ms.contsub_channel_744,8854,0.00435183
True,17.333333333333332,/home/eric/Jasper/m33/14B-088/single_channels/channel_745/14B-088_HI_LSRK.ms.contsub_channel_745,8939,0.00445617
True,20.05,/home/eric/Jasper/m33/14B-088/single_channels/channel_746/14B-088_HI_LSRK.ms.contsub_channel_746,9966,0.00433799
True,17.483333333333334,/home/eric/Jasper/m33/14B-088/single_channels/channel_747/14B-088_HI_LSRK.ms.contsub_channel_747,9028,0.00446099
True,18.816666666666666,/home/eric/Jasper/m33/14B-088/single_channels/channel_748/14B-088_HI_LSRK.ms.contsub_channel_748,9761,0.0043487
True,19.15,/home/eric/Jasper/m33/14B-088/single_channels/channel_749/14B-088_HI_LSRK.ms.contsub_channel_749,9720,0.0044581
True,20.45,/home/eric/Jasper/m33/14B-088/single_channels/channel_750/14B-088_HI_LSRK.ms.contsub_channel_750,10302,0.00436252
True,21.75,/home/eric/Jasper/m33/14B-088/single_channels/channel_751/14B-088_HI_LSRK.ms.contsub_channel_751,10876,0.00432059
