date, track, time_on_source
10/12/16,16B-242.sb32681213.eb32949259.57673.06817918981,01:42:18
10/13/16,16B-242.sb32681213.eb32954876.57674.07753513889,01:55:47
10/14/16,16B-242.sb32681213.eb32956712.57675.0472325463,01:12:52
10/16/16,16B-242.sb32681213.eb32958324.57677.085873668984,02:07:20
10/20/16,16B-242.sb32681213.eb32961984.57681.03943858796,01:01:02
10/25/16,16B-242.sb32681213.eb32969161.57686.01854777778,00:33:05
11/01/16,16B-242.sb32614458.eb32978118.57693.289744062495,07:04:06
11/02/16,16B-242.sb32614458.eb32978942.57694.29761952546,07:12:59
11/03/16,16B-242.sb32614458.eb32980749.57695.35484743056,08:33:33
11/04/16,16B-242.sb32614458.eb32982501.57696.352311215276,08:30:01
11/05/16,16B-242.sb32614458.eb32984320.57697.291263148145,07:05:10
11/06/16,16B-242.sb32614458.eb32984330.57698.29168733796,07:04:28
