Reached Threshold,Time Elapsed,Name,Iterations,Max Residual
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_11/M33_b_c_LSRK_channel_11,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_12/M33_b_c_LSRK_channel_12,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_13/M33_b_c_LSRK_channel_13,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_14/M33_b_c_LSRK_channel_14,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_15/M33_b_c_LSRK_channel_15,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_16/M33_b_c_LSRK_channel_16,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_17/M33_b_c_LSRK_channel_17,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_18/M33_b_c_LSRK_channel_18,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_19/M33_b_c_LSRK_channel_19,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_20/M33_b_c_LSRK_channel_20,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_21/M33_b_c_LSRK_channel_21,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_22/M33_b_c_LSRK_channel_22,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_23/M33_b_c_LSRK_channel_23,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_24/M33_b_c_LSRK_channel_24,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_25/M33_b_c_LSRK_channel_25,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_26/M33_b_c_LSRK_channel_26,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_27/M33_b_c_LSRK_channel_27,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_28/M33_b_c_LSRK_channel_28,0.0,nan
False,nan,/home/eric/Jasper/m33/AT0206/single_channels/channel_29/M33_b_c_LSRK_channel_29,0.0,nan
True,8.8,/home/eric/Jasper/m33/AT0206/single_channels/channel_30/M33_b_c_LSRK_channel_30,1592.0,0.00210401
True,11.9,/home/eric/Jasper/m33/AT0206/single_channels/channel_31/M33_b_c_LSRK_channel_31,2717.0,0.00213754
True,40.25,/home/eric/Jasper/m33/AT0206/single_channels/channel_32/M33_b_c_LSRK_channel_32,4536.0,0.0021888
True,20.266666666666666,/home/eric/Jasper/m33/AT0206/single_channels/channel_33/M33_b_c_LSRK_channel_33,6934.0,0.00218811
True,28.666666666666668,/home/eric/Jasper/m33/AT0206/single_channels/channel_34/M33_b_c_LSRK_channel_34,10373.0,0.00217792
